scale,model_family,variant,message_id,case_type,y_true,y_pred,score,subject,body_preview,manual_observation,likely_error_source,reviewer_note
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,954269aaab379c7410548c189fa390581faedfd3,false_positive,0,1,0.9984583274445666,RE: EOL Guest Account Access,"I've logged on. Thanks for your help.

-----Original Message-----
From: Danny.Lee@enron.com [mailto:Danny.Lee@enron.com]
Sent: Thursday, July 27, 2000 5:07 PM
To: ekrapels@esaibos.com
Subject: EOL Guest Account Access



Attention:          ESAI
               Ed Krapels

Thank you for your interest in EnronOnline.

The  following  is a guest password that will allow you temporary view only
access  to  EnronOnline.   Please  note,  the user ID and password are CASE
SENSITIVE.

     Guest User ID",Operational account/access notification.,system_or_account_access_message,Access-related terminology may resemble security-sensitive communication but content appears operational.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,feb10cb8935bdfde41e89cffab2e95cc5ec461c9,false_positive,0,1,0.998136577291572,"FW: INO.com Extreme Markets Daily Digest for May 11, 2000","---------------------- Forwarded by Chris Germany/HOU/ECT on 05/16/2000 12:35 
PM ---------------------------


""Germany Jr, Don (WD)"" <WDGERMANYJR@dow.com> on 05/15/2000 08:25:43 AM
To: ""'Chris.Germany@enron.com'"" <Chris.Germany@enron.com>
cc:  
Subject: FW: INO.com Extreme Markets Daily Digest for May 11, 2000


Check it out.

-----Original Message-----
From: INO.com [mailto:digest@ino.com]
Sent: Thursday, May 11, 2000 11:57 PM
To: wdgermanyjr@dow.com
Subject: INO.com Extreme Markets Daily Dig",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,ee240d8cfdbff8a5ea4678da0aafee52e4ead35c,false_positive,0,1,0.9980513401751424,FW: March of Dimes," -----Original Message-----
From:  Calcagno, Suzanne =20
Sent: Thursday, April 19, 2001 1:12 PM
To:=20
Subject: March of Dimes

Hello All--

Shelley Corman has asked me to forward the attached letter to you regarding=
=20
Enron's fundraising efforts on behalf of the March of Dimes. =20

Please take a moment to review--any contribution you can make would be=20
greatly appreciated and will be matched 100% by Enron.

Please ket me know if you have any questions or need any additional=20
information",High-scoring false positive requiring manual confirmation.,manual_review_required,No automatic category confidently assigned.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,d2094629318f3b63cf1570cd69837a2e6b6b599f,false_positive,0,1,0.997220119154936,OSBA Report Online HTML Version Volume 74 Issue 43,"
Goto Online Report Homepage></a> </td> </tr> <!--=3D=3D=3D=3D=3D=3D=3D=3D=
=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=
=3D=3D=3D=3D=3D=3D=3D=3D END  TR SECTION 1 =3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=
=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D--> <!--=3D=3D=3D=
=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=
=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D BEGIN TR SECTION 2 =3D=3D=3D=3D=3D=
=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=3D=",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,38ca0217cb3acfd2b78ec1b96e57e75d3e66f6bd,false_positive,0,1,0.9968265024604486,"Enerfax Gas, Oil, Liquids,Derivatives' prices & info (text) Crude","
Enerfax GOLD
NORTH AMERICA'S FREE  GAS, OIL, LIQUIDS & DERIVATIVES
INFORMATION SOURCE
   Thursday, December 27 2001  No. 451
Visit our website at: http://www.enerfaxgold.com/,

PETROLEUM PRICES
| Bonny Light      |   n/a
| Brent            |   n/a
| Butane           |  $ 0.37
| Fuel Oil #2      |  $ 0.59
| Louisiana        |  $21.45
| Medit.           |   n/a
| Propane Non-tet  |  $ 0.33
| Propane Wet-tet  |  $ 0.33
| W. Tx Int Cush   |  $21.28
| W. Tx Sour       |  $19.65

| Euro in US equiv |",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,4a1c0edbbb6c853f9ca08bb4d9db2198d0a9bb51,false_positive,0,1,0.9963763496207436,"Hot New Releases, Upcoming DVDs, and Advance Holiday Shopping in","=20
Amazon.com Delivers Action DVD  [IMAGE] [IMAGE]   [IMAGE]  Action  DVD   [I=
MAGE]  [IMAGE] Editor, Mark Englehart  [IMAGE] November  7, 2001       Sear=
ch:   DVDVHSIn TheatersAll Products  Browse:  Action DVD All  genres:Action=
  & AdventureAfrican  American CinemaAnime  & MangaArt  House & Internation=
alClassicsComedyCult  MoviesDocumentaryDramaGay  & LesbianHorrorKids  & Fam=
ilyMilitary  & WarMusicals  & Performing ArtsMusic  Video & ConcertsMystery=
  & SuspenseScience  Fiction & Fan",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,91574fb1af86e0b3f4883b6beaa6787070729052,false_positive,0,1,0.9957125486615817,"Daren, claim your gift!","
	[IMAGE][IMAGE]	
  		
   Dear Daren,  Click here now to redeem your Rose Blossom Bud Vase by Lenox!    [IMAGE]   [IMAGE]  [IMAGE]  [IMAGE]       		
  		
	 Shipping and handling charges apply.  Forgot your member name?  It is: Farmer Forgot your iWon password? Click here.    You received this email because when you registered at iWon you agreed to receive email from us. To unsubscribe from one or more email categories, please click below. Please note, changes may take up to one week to process. ",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,fa5ea3e983f0fc103456111da22fa4edd7ecdc9d,false_positive,0,1,0.9956217809710232,"CompleteCrafts.com Newsletter - November 1, 2001","CompleteCrafts.com Newsletter - November 1, 2001
http://www.CompleteCrafts.com/

_______________________________________________________ 
Welcome to CompleteCrafts.com's newsletter! 

Feel free to forward our newsletter to your friends. If you received our newsletter from a friend you can subscribe at http://www.CompleteCrafts.com/. If you do not wish to receive our newsletter in the future, please respond to this email with ""unsubscribe"" in the subject line. 
___________________________________",Routine newsletter/digest or automated external information feed.,newsletter_or_automated_bulk_message,Model likely weighted bulk/external-message structure as suspicious although content appears routine.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,58dcb04bdd51c8c455cad1c7e35eebf28c28dca9,false_positive,0,1,0.9955982649965096,Stars Attack Stars,"
[IMAGE] =09[IMAGE]=09


[IMAGE]=09


     [IMAGE]NAUGHTY NICOLE IS GETTING NAUGHTIER  [IMAGE]Romance with bad-bo=
y pop star heats up      [IMAGE]  [IMAGE] NICOLE KIDMAN   Nicole Kidman is =
getting even with her ex-hubby Tom Cruise for flaunting his love affair wit=
h Penelope Cruz - by cavorting with Brit pop bad-boy Robbie Williams!   Nic=
ole and Robbie, 27 - who shot to stardom in the mid-1990s as part of the ba=
nd Take That - first set tongues wagging this past September when they team=
",High-scoring false positive requiring manual confirmation.,manual_review_required,No automatic category confidently assigned.
Enron_100000,TFIDF_LR,late_fusion_safe_metadata,41041e2d877e93025067b0f0dcdd00ccba0b65f8,false_positive,0,1,0.9955498950550252,Re: Add Authorized User,"We have responded to the message you recently sent to Citibank Customer
Care. To get your response, sign on to Account Online
(http://www.accountonline.com) and take the following steps: Go to
Help/Contact Us, find the heading 'Send a Secure Message' and choose
'View/Update Messages.'

This email is generated automatically, and the address is not monitored
for responses. If you try contacting us by using ""reply,"" you will not
receive an answer. Additionally, it is not a secure environment. Use t",Operational account/access notification.,system_or_account_access_message,Access-related terminology may resemble security-sensitive communication but content appears operational.
